query,expanded_english_queries,rank,image_filename,image_path,image_id,score
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,1,19_02_04_0_0_12022755_115.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/19_02_04_0_0_12022755_115.jpg,19_02_04_0_0_12022755_115,0.38917428255081177
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,2,08_02_04_0_0_1601101_60.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/08_02_04_0_0_1601101_60.jpg,08_02_04_0_0_1601101_60,0.38862794637680054
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,3,15_02_04_0_0_24659033_205.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/15_02_04_0_0_24659033_205.jpg,15_02_04_0_0_24659033_205,0.3828773498535156
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,4,10_02_04_0_0_1601105_245.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/10_02_04_0_0_1601105_245.jpg,10_02_04_0_0_1601105_245,0.3634253740310669
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,5,18_02_04_0_0_12019211_40.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/18_02_04_0_0_12019211_40.jpg,18_02_04_0_0_12019211_40,0.36097750067710876
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,6,20_02_04_0_0_12027481_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/20_02_04_0_0_12027481_185.jpg,20_02_04_0_0_12027481_185,0.35959264636039734
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,7,18_02_04_0_0_12009800_5.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/18_02_04_0_0_12009800_5.jpg,18_02_04_0_0_12009800_5,0.35697272419929504
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,8,09_02_04_0_0_1601105_145.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/09_02_04_0_0_1601105_145.jpg,09_02_04_0_0_1601105_145,0.35601112246513367
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,9,17_02_04_0_0_2905998_155.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/17_02_04_0_0_2905998_155.jpg,17_02_04_0_0_2905998_155,0.3450406789779663
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,10,07_02_04_0_0_11959836_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/07_02_04_0_0_11959836_185.jpg,07_02_04_0_0_11959836_185,0.3441748321056366
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,11,13_02_04_0_0_1735851_5.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1004000/13_02_04_0_0_1735851_5.jpg,13_02_04_0_0_1735851_5,0.341555655002594
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,12,08_02_04_0_0_1723965_110.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1004000/08_02_04_0_0_1723965_110.jpg,08_02_04_0_0_1723965_110,0.341128945350647
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,13,17_02_04_0_0_3963188_200.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1004000/17_02_04_0_0_3963188_200.jpg,17_02_04_0_0_3963188_200,0.3391779959201813
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,14,16_02_04_0_0_24659033_240_1.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/16_02_04_0_0_24659033_240_1.jpg,16_02_04_0_0_24659033_240_1,0.3378843665122986
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,15,15_02_04_0_0_3959016_120.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1004000/15_02_04_0_0_3959016_120.jpg,15_02_04_0_0_3959016_120,0.3348552882671356
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,16,06_02_04_0_0_11959038_125.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/06_02_04_0_0_11959038_125.jpg,06_02_04_0_0_11959038_125,0.33273476362228394
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,17,17_02_04_0_0_12009800_30.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/17_02_04_0_0_12009800_30.jpg,17_02_04_0_0_12009800_30,0.3307652473449707
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,18,12_02_04_0_0_1735589_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1004000/12_02_04_0_0_1735589_185.jpg,12_02_04_0_0_1735589_185,0.32790064811706543
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,19,19_02_04_0_0_12022102_120.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/19_02_04_0_0_12022102_120.jpg,19_02_04_0_0_12022102_120,0.32047051191329956
低光照下，前车强逆光,low-light scene with strong backlight from the vehicle ahead,20,09_02_04_0_0_1724407_130.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1004000/09_02_04_0_0_1724407_130.jpg,09_02_04_0_0_1724407_130,0.31555208563804626
对向来车,oncoming vehicle in opposite lane,1,07_02_04_0_0_11959836_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/07_02_04_0_0_11959836_185.jpg,07_02_04_0_0_11959836_185,0.3977304995059967
对向来车,oncoming vehicle in opposite lane,2,19_02_04_0_0_12022755_115.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/19_02_04_0_0_12022755_115.jpg,19_02_04_0_0_12022755_115,0.39129799604415894
对向来车,oncoming vehicle in opposite lane,3,18_02_04_0_0_12009800_5.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/18_02_04_0_0_12009800_5.jpg,18_02_04_0_0_12009800_5,0.38939613103866577
对向来车,oncoming vehicle in opposite lane,4,11_02_04_0_0_11932370_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1001000/11_02_04_0_0_11932370_185.jpg,11_02_04_0_0_11932370_185,0.38199958205223083
对向来车,oncoming vehicle in opposite lane,5,03_02_04_0_0_11924864_150.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1001000/03_02_04_0_0_11924864_150.jpg,03_02_04_0_0_11924864_150,0.3786076009273529
对向来车,oncoming vehicle in opposite lane,6,15_02_04_0_0_24659033_205.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/15_02_04_0_0_24659033_205.jpg,15_02_04_0_0_24659033_205,0.37716561555862427
对向来车,oncoming vehicle in opposite lane,7,04_02_04_0_0_11936861_125.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/04_02_04_0_0_11936861_125.jpg,04_02_04_0_0_11936861_125,0.37694117426872253
对向来车,oncoming vehicle in opposite lane,8,20_02_04_0_0_12027481_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/20_02_04_0_0_12027481_185.jpg,20_02_04_0_0_12027481_185,0.3722435534000397
对向来车,oncoming vehicle in opposite lane,9,13_02_04_0_0_11970541_15.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/13_02_04_0_0_11970541_15.jpg,13_02_04_0_0_11970541_15,0.3698280453681946
对向来车,oncoming vehicle in opposite lane,10,01_02_04_0_0_11924420_20.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1001000/01_02_04_0_0_11924420_20.jpg,01_02_04_0_0_11924420_20,0.3680146336555481
对向来车,oncoming vehicle in opposite lane,11,07_02_04_0_0_11928492_95.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1001000/07_02_04_0_0_11928492_95.jpg,07_02_04_0_0_11928492_95,0.3662601113319397
对向来车,oncoming vehicle in opposite lane,12,05_02_04_0_0_11985612_50.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1005000/05_02_04_0_0_11985612_50.jpg,05_02_04_0_0_11985612_50,0.36574703454971313
对向来车,oncoming vehicle in opposite lane,13,08_02_04_0_0_1601101_60.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/08_02_04_0_0_1601101_60.jpg,08_02_04_0_0_1601101_60,0.36541903018951416
对向来车,oncoming vehicle in opposite lane,14,09_02_04_0_0_11962475_65.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/09_02_04_0_0_11962475_65.jpg,09_02_04_0_0_11962475_65,0.3608177900314331
对向来车,oncoming vehicle in opposite lane,15,03_02_04_0_0_11951035_10.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/03_02_04_0_0_11951035_10.jpg,03_02_04_0_0_11951035_10,0.3597625494003296
对向来车,oncoming vehicle in opposite lane,16,12_02_04_0_0_1735589_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1004000/12_02_04_0_0_1735589_185.jpg,12_02_04_0_0_1735589_185,0.35954001545906067
对向来车,oncoming vehicle in opposite lane,17,09_02_04_0_0_11958493_190.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/09_02_04_0_0_11958493_190.jpg,09_02_04_0_0_11958493_190,0.35711443424224854
对向来车,oncoming vehicle in opposite lane,18,06_02_04_0_0_11927657_225.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1001000/06_02_04_0_0_11927657_225.jpg,06_02_04_0_0_11927657_225,0.3553982377052307
对向来车,oncoming vehicle in opposite lane,19,10_02_04_0_0_11964397_20.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/10_02_04_0_0_11964397_20.jpg,10_02_04_0_0_11964397_20,0.3541131019592285
对向来车,oncoming vehicle in opposite lane,20,10_02_04_0_0_11964686_220.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/10_02_04_0_0_11964686_220.jpg,10_02_04_0_0_11964686_220,0.3535101115703583
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,1,07_02_04_0_0_11959836_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/07_02_04_0_0_11959836_185.jpg,07_02_04_0_0_11959836_185,0.4595698118209839
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,2,20_02_04_0_0_12027481_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/20_02_04_0_0_12027481_185.jpg,20_02_04_0_0_12027481_185,0.41758787631988525
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,3,19_02_04_0_0_12022755_115.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/19_02_04_0_0_12022755_115.jpg,19_02_04_0_0_12022755_115,0.4140673577785492
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,4,06_02_04_0_0_11959038_125.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/06_02_04_0_0_11959038_125.jpg,06_02_04_0_0_11959038_125,0.4035739600658417
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,5,18_02_04_0_0_12019211_40.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/18_02_04_0_0_12019211_40.jpg,18_02_04_0_0_12019211_40,0.3968237042427063
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,6,10_02_04_0_0_11964686_220.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/10_02_04_0_0_11964686_220.jpg,10_02_04_0_0_11964686_220,0.3882812261581421
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,7,17_02_04_0_0_12015956_125.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/17_02_04_0_0_12015956_125.jpg,17_02_04_0_0_12015956_125,0.3815387189388275
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,8,18_02_04_0_0_12009800_5.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/18_02_04_0_0_12009800_5.jpg,18_02_04_0_0_12009800_5,0.38000720739364624
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,9,15_02_04_0_0_3959016_120.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1004000/15_02_04_0_0_3959016_120.jpg,15_02_04_0_0_3959016_120,0.37527889013290405
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,10,16_02_04_0_0_11999391_15.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/16_02_04_0_0_11999391_15.jpg,16_02_04_0_0_11999391_15,0.37068286538124084
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,11,04_02_04_0_0_11952008_175.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/04_02_04_0_0_11952008_175.jpg,04_02_04_0_0_11952008_175,0.36793577671051025
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,12,08_02_04_0_0_1601101_60.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/08_02_04_0_0_1601101_60.jpg,08_02_04_0_0_1601101_60,0.3616790771484375
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,13,13_02_04_0_0_11970541_15.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/13_02_04_0_0_11970541_15.jpg,13_02_04_0_0_11970541_15,0.3600359261035919
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,14,12_02_04_0_0_11969666_75.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/12_02_04_0_0_11969666_75.jpg,12_02_04_0_0_11969666_75,0.3471551537513733
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,15,09_02_04_0_0_11962475_65.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/09_02_04_0_0_11962475_65.jpg,09_02_04_0_0_11962475_65,0.3445548713207245
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,16,09_02_04_0_0_1601105_145.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1003000/09_02_04_0_0_1601105_145.jpg,09_02_04_0_0_1601105_145,0.3429873585700989
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,17,03_02_04_0_0_11951035_10.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/03_02_04_0_0_11951035_10.jpg,03_02_04_0_0_11951035_10,0.33654457330703735
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,18,17_02_04_0_0_12009800_30.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1002000/17_02_04_0_0_12009800_30.jpg,17_02_04_0_0_12009800_30,0.3341115117073059
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,19,11_02_04_0_0_11932370_185.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1001000/11_02_04_0_0_11932370_185.jpg,11_02_04_0_0_11932370_185,0.33409613370895386
雨天，前车刹车灯亮起,rainy road with brake lights on from the vehicle ahead,20,01_02_04_0_0_11932739_15.jpg,/defaultShare/qwen-vl/Retriv/input/raw/issue_1006000/01_02_04_0_0_11932739_15.jpg,01_02_04_0_0_11932739_15,0.3336394429206848
