query,expanded_english_queries,rank,image_filename,image_path,image_id,score
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",1,18_02_04_0_0_12019211_40.jpg,/home/leo494/projects/Retriv/input/raw/issue_1006000/18_02_04_0_0_12019211_40.jpg,18_02_04_0_0_12019211_40,0.03125
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",2,20_02_04_0_0_12027481_185.jpg,/home/leo494/projects/Retriv/input/raw/issue_1006000/20_02_04_0_0_12027481_185.jpg,20_02_04_0_0_12027481_185,0.03047794966520434
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",3,13_02_04_0_0_1735851_5.jpg,/home/leo494/projects/Retriv/input/raw/issue_1004000/13_02_04_0_0_1735851_5.jpg,13_02_04_0_0_1735851_5,0.030090497737556562
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",4,15_02_04_0_0_3959016_120.jpg,/home/leo494/projects/Retriv/input/raw/issue_1004000/15_02_04_0_0_3959016_120.jpg,15_02_04_0_0_3959016_120,0.028850145288501453
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",5,16_02_04_0_0_24659033_240_1.jpg,/home/leo494/projects/Retriv/input/raw/issue_1003000/16_02_04_0_0_24659033_240_1.jpg,16_02_04_0_0_24659033_240_1,0.027650648360030512
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",6,17_02_04_0_0_3963188_200.jpg,/home/leo494/projects/Retriv/input/raw/issue_1004000/17_02_04_0_0_3963188_200.jpg,17_02_04_0_0_3963188_200,0.027313266443701224
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",7,07_02_04_0_0_11959836_185.jpg,/home/leo494/projects/Retriv/input/raw/issue_1006000/07_02_04_0_0_11959836_185.jpg,07_02_04_0_0_11959836_185,0.02532051282051282
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",8,08_02_04_0_0_1601101_60.jpg,/home/leo494/projects/Retriv/input/raw/issue_1003000/08_02_04_0_0_1601101_60.jpg,08_02_04_0_0_1601101_60,0.01639344262295082
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",9,19_02_04_0_0_12022755_115.jpg,/home/leo494/projects/Retriv/input/raw/issue_1002000/19_02_04_0_0_12022755_115.jpg,19_02_04_0_0_12022755_115,0.016129032258064516
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",10,06_02_04_0_0_11985612_75.jpg,/home/leo494/projects/Retriv/input/raw/issue_1005000/06_02_04_0_0_11985612_75.jpg,06_02_04_0_0_11985612_75,0.016129032258064516
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",11,15_02_04_0_0_24659033_205.jpg,/home/leo494/projects/Retriv/input/raw/issue_1003000/15_02_04_0_0_24659033_205.jpg,15_02_04_0_0_24659033_205,0.015873015873015872
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",12,09_02_04_0_0_1724407_130.jpg,/home/leo494/projects/Retriv/input/raw/issue_1004000/09_02_04_0_0_1724407_130.jpg,09_02_04_0_0_1724407_130,0.015873015873015872
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",13,08_02_04_0_0_1723965_110.jpg,/home/leo494/projects/Retriv/input/raw/issue_1004000/08_02_04_0_0_1723965_110.jpg,08_02_04_0_0_1723965_110,0.015384615384615385
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",14,12_02_04_0_0_1735589_185.jpg,/home/leo494/projects/Retriv/input/raw/issue_1004000/12_02_04_0_0_1735589_185.jpg,12_02_04_0_0_1735589_185,0.015151515151515152
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",15,09_02_04_0_0_1601105_145.jpg,/home/leo494/projects/Retriv/input/raw/issue_1003000/09_02_04_0_0_1601105_145.jpg,09_02_04_0_0_1601105_145,0.014925373134328358
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",16,02_02_04_0_0_11959574_45.jpg,/home/leo494/projects/Retriv/input/raw/issue_1004000/02_02_04_0_0_11959574_45.jpg,02_02_04_0_0_11959574_45,0.014925373134328358
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",17,05_02_04_0_0_11957839_70.jpg,/home/leo494/projects/Retriv/input/raw/issue_1006000/05_02_04_0_0_11957839_70.jpg,05_02_04_0_0_11957839_70,0.014705882352941176
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",18,18_02_04_0_0_12009800_5.jpg,/home/leo494/projects/Retriv/input/raw/issue_1002000/18_02_04_0_0_12009800_5.jpg,18_02_04_0_0_12009800_5,0.014285714285714285
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",19,14_02_04_0_0_11933479_230.jpg,/home/leo494/projects/Retriv/input/raw/issue_1001000/14_02_04_0_0_11933479_230.jpg,14_02_04_0_0_11933479_230,0.014285714285714285
vehicle ahead under strong backlighting in low-light conditions,"nighttime dashcam road scene with a lead vehicle directly ahead, strong glare and backlighting around the vehicle, low visibility, dark surroundings, and bright lights facing or reflecting toward the camera",20,19_02_04_0_0_12022102_120.jpg,/home/leo494/projects/Retriv/input/raw/issue_1006000/19_02_04_0_0_12022102_120.jpg,19_02_04_0_0_12022102_120,0.014084507042253521
